rank	form	normalized_form	combined_count	source_count	source_counts_json
87	Ein	ein	42712	3	{"deu_news_2024_1M_words.txt":19033,"deu_wikipedia_2021_1M_words.txt":11104,"deu-de_web_2021_1M_words.txt":12575}
88	Nach	nach	42106	3	{"deu_news_2024_1M_words.txt":13671,"deu_wikipedia_2021_1M_words.txt":20845,"deu-de_web_2021_1M_words.txt":7590}
89	ab	ab	41819	3	{"deu_news_2024_1M_words.txt":13359,"deu_wikipedia_2021_1M_words.txt":16011,"deu-de_web_2021_1M_words.txt":12449}
90	ich	ich	41742	3	{"deu_news_2024_1M_words.txt":18591,"deu_wikipedia_2021_1M_words.txt":1490,"deu-de_web_2021_1M_words.txt":21661}
91	dann	dann	41598	3	{"deu_news_2024_1M_words.txt":17510,"deu_wikipedia_2021_1M_words.txt":10328,"deu-de_web_2021_1M_words.txt":13760}
92	wenn	wenn	41391	3	{"deu_news_2024_1M_words.txt":15049,"deu_wikipedia_2021_1M_words.txt":6231,"deu-de_web_2021_1M_words.txt":20111}
93	alle	alle	41223	3	{"deu_news_2024_1M_words.txt":11807,"deu_wikipedia_2021_1M_words.txt":9274,"deu-de_web_2021_1M_words.txt":20142}
94	Jahre	jahre	40915	3	{"deu_news_2024_1M_words.txt":11363,"deu_wikipedia_2021_1M_words.txt":21596,"deu-de_web_2021_1M_words.txt":7956}
95	waren	waren	38891	3	{"deu_news_2024_1M_words.txt":12881,"deu_wikipedia_2021_1M_words.txt":20393,"deu-de_web_2021_1M_words.txt":5617}
96	Auch	auch	38760	3	{"deu_news_2024_1M_words.txt":16860,"deu_wikipedia_2021_1M_words.txt":10008,"deu-de_web_2021_1M_words.txt":11892}
97	immer	immer	38541	3	{"deu_news_2024_1M_words.txt":16625,"deu_wikipedia_2021_1M_words.txt":8075,"deu-de_web_2021_1M_words.txt":13841}
98	zwischen	zwischen	38502	3	{"deu_news_2024_1M_words.txt":11682,"deu_wikipedia_2021_1M_words.txt":16852,"deu-de_web_2021_1M_words.txt":9968}
99	Am	am	37657	3	{"deu_news_2024_1M_words.txt":12692,"deu_wikipedia_2021_1M_words.txt":17970,"deu-de_web_2021_1M_words.txt":6995}
100	beim	beim	37501	3	{"deu_news_2024_1M_words.txt":17091,"deu_wikipedia_2021_1M_words.txt":8410,"deu-de_web_2021_1M_words.txt":12000}
101	Bei	bei	37492	3	{"deu_news_2024_1M_words.txt":12342,"deu_wikipedia_2021_1M_words.txt":11453,"deu-de_web_2021_1M_words.txt":13697}
102	Zeit	zeit	37389	3	{"deu_news_2024_1M_words.txt":10593,"deu_wikipedia_2021_1M_words.txt":16539,"deu-de_web_2021_1M_words.txt":10257}
103	keine	keine	37161	3	{"deu_news_2024_1M_words.txt":14021,"deu_wikipedia_2021_1M_words.txt":10173,"deu-de_web_2021_1M_words.txt":12967}
104	Wir	wir	36846	3	{"deu_news_2024_1M_words.txt":13395,"deu_wikipedia_2021_1M_words.txt":581,"deu-de_web_2021_1M_words.txt":22870}
105	sei	sei	36702	3	{"deu_news_2024_1M_words.txt":25369,"deu_wikipedia_2021_1M_words.txt":7515,"deu-de_web_2021_1M_words.txt":3818}
106	sehr	sehr	36541	3	{"deu_news_2024_1M_words.txt":12960,"deu_wikipedia_2021_1M_words.txt":10013,"deu-de_web_2021_1M_words.txt":13568}
107	Für	für	36479	3	{"deu_news_2024_1M_words.txt":12551,"deu_wikipedia_2021_1M_words.txt":8030,"deu-de_web_2021_1M_words.txt":15898}
108	bereits	bereits	36213	3	{"deu_news_2024_1M_words.txt":14854,"deu_wikipedia_2021_1M_words.txt":10798,"deu-de_web_2021_1M_words.txt":10561}
109	Eine	eine	36042	3	{"deu_news_2024_1M_words.txt":11971,"deu_wikipedia_2021_1M_words.txt":10997,"deu-de_web_2021_1M_words.txt":13074}
110	seit	seit	35715	3	{"deu_news_2024_1M_words.txt":13948,"deu_wikipedia_2021_1M_words.txt":12442,"deu-de_web_2021_1M_words.txt":9325}
111	soll	soll	35117	3	{"deu_news_2024_1M_words.txt":19020,"deu_wikipedia_2021_1M_words.txt":6100,"deu-de_web_2021_1M_words.txt":9997}
112	drei	drei	35069	3	{"deu_news_2024_1M_words.txt":12205,"deu_wikipedia_2021_1M_words.txt":15227,"deu-de_web_2021_1M_words.txt":7637}
113	diesem	diesem	34824	3	{"deu_news_2024_1M_words.txt":11461,"deu_wikipedia_2021_1M_words.txt":10532,"deu-de_web_2021_1M_words.txt":12831}
114	schon	schon	34609	3	{"deu_news_2024_1M_words.txt":18376,"deu_wikipedia_2021_1M_words.txt":6309,"deu-de_web_2021_1M_words.txt":9924}
115	ihr	ihr	34547	3	{"deu_news_2024_1M_words.txt":13215,"deu_wikipedia_2021_1M_words.txt":11444,"deu-de_web_2021_1M_words.txt":9888}
116	jedoch	jedoch	34407	3	{"deu_news_2024_1M_words.txt":7962,"deu_wikipedia_2021_1M_words.txt":19817,"deu-de_web_2021_1M_words.txt":6628}
117	was	was	34360	3	{"deu_news_2024_1M_words.txt":14898,"deu_wikipedia_2021_1M_words.txt":7614,"deu-de_web_2021_1M_words.txt":11848}
118	ersten	ersten	34261	3	{"deu_news_2024_1M_words.txt":11958,"deu_wikipedia_2021_1M_words.txt":14579,"deu-de_web_2021_1M_words.txt":7724}
119	uns	uns	34032	3	{"deu_news_2024_1M_words.txt":9868,"deu_wikipedia_2021_1M_words.txt":726,"deu-de_web_2021_1M_words.txt":23438}
120	Diese	diese	32191	3	{"deu_news_2024_1M_words.txt":7552,"deu_wikipedia_2021_1M_words.txt":12501,"deu-de_web_2021_1M_words.txt":12138}
121	neue	neue	31764	3	{"deu_news_2024_1M_words.txt":12630,"deu_wikipedia_2021_1M_words.txt":7247,"deu-de_web_2021_1M_words.txt":11887}
122	Deutschland	deutschland	31216	3	{"deu_news_2024_1M_words.txt":11948,"deu_wikipedia_2021_1M_words.txt":6952,"deu-de_web_2021_1M_words.txt":12316}
123	ihrer	ihrer	31177	3	{"deu_news_2024_1M_words.txt":9292,"deu_wikipedia_2021_1M_words.txt":11776,"deu-de_web_2021_1M_words.txt":10109}
124	anderen	anderen	30958	3	{"deu_news_2024_1M_words.txt":9134,"deu_wikipedia_2021_1M_words.txt":10589,"deu-de_web_2021_1M_words.txt":11235}
125	habe	habe	30897	3	{"deu_news_2024_1M_words.txt":20343,"deu_wikipedia_2021_1M_words.txt":4714,"deu-de_web_2021_1M_words.txt":5840}
126	muss	muss	30516	3	{"deu_news_2024_1M_words.txt":12232,"deu_wikipedia_2021_1M_words.txt":5106,"deu-de_web_2021_1M_words.txt":13178}
127	damit	damit	30431	3	{"deu_news_2024_1M_words.txt":11192,"deu_wikipedia_2021_1M_words.txt":8219,"deu-de_web_2021_1M_words.txt":11020}
128	etwa	etwa	30008	3	{"deu_news_2024_1M_words.txt":11073,"deu_wikipedia_2021_1M_words.txt":13648,"deu-de_web_2021_1M_words.txt":5287}
129	dabei	dabei	29803	3	{"deu_news_2024_1M_words.txt":10312,"deu_wikipedia_2021_1M_words.txt":7599,"deu-de_web_2021_1M_words.txt":11892}
130	Euro	euro	29307	3	{"deu_news_2024_1M_words.txt":18057,"deu_wikipedia_2021_1M_words.txt":2746,"deu-de_web_2021_1M_words.txt":8504}
131	hier	hier	29240	3	{"deu_news_2024_1M_words.txt":9665,"deu_wikipedia_2021_1M_words.txt":6882,"deu-de_web_2021_1M_words.txt":12693}
132	Ende	ende	28958	3	{"deu_news_2024_1M_words.txt":10288,"deu_wikipedia_2021_1M_words.txt":12817,"deu-de_web_2021_1M_words.txt":5853}
133	viele	viele	28273	3	{"deu_news_2024_1M_words.txt":11864,"deu_wikipedia_2021_1M_words.txt":5225,"deu-de_web_2021_1M_words.txt":11184}
134	Prozent	prozent	27811	3	{"deu_news_2024_1M_words.txt":18162,"deu_wikipedia_2021_1M_words.txt":3268,"deu-de_web_2021_1M_words.txt":6381}
135	Und	und	27653	3	{"deu_news_2024_1M_words.txt":17446,"deu_wikipedia_2021_1M_words.txt":1023,"deu-de_web_2021_1M_words.txt":9184}
136	Als	als	27189	3	{"deu_news_2024_1M_words.txt":7134,"deu_wikipedia_2021_1M_words.txt":12919,"deu-de_web_2021_1M_words.txt":7136}
137	selbst	selbst	27158	3	{"deu_news_2024_1M_words.txt":9463,"deu_wikipedia_2021_1M_words.txt":8284,"deu-de_web_2021_1M_words.txt":9411}
138	nun	nun	27114	3	{"deu_news_2024_1M_words.txt":15089,"deu_wikipedia_2021_1M_words.txt":6081,"deu-de_web_2021_1M_words.txt":5944}
139	seinen	seinen	26980	3	{"deu_news_2024_1M_words.txt":9370,"deu_wikipedia_2021_1M_words.txt":13131,"deu-de_web_2021_1M_words.txt":4479}
140	da	da	26900	3	{"deu_news_2024_1M_words.txt":9694,"deu_wikipedia_2021_1M_words.txt":9907,"deu-de_web_2021_1M_words.txt":7299}
141	Stadt	stadt	26633	3	{"deu_news_2024_1M_words.txt":8635,"deu_wikipedia_2021_1M_words.txt":11790,"deu-de_web_2021_1M_words.txt":6208}
142	ihren	ihren	26273	3	{"deu_news_2024_1M_words.txt":9294,"deu_wikipedia_2021_1M_words.txt":8503,"deu-de_web_2021_1M_words.txt":8476}
143	müssen	müssen	26118	3	{"deu_news_2024_1M_words.txt":10161,"deu_wikipedia_2021_1M_words.txt":2882,"deu-de_web_2021_1M_words.txt":13075}
144	Wie	wie	25835	3	{"deu_news_2024_1M_words.txt":10775,"deu_wikipedia_2021_1M_words.txt":2465,"deu-de_web_2021_1M_words.txt":12595}
145	Auf	auf	25481	3	{"deu_news_2024_1M_words.txt":8561,"deu_wikipedia_2021_1M_words.txt":8536,"deu-de_web_2021_1M_words.txt":8384}
146	neuen	neuen	25351	3	{"deu_news_2024_1M_words.txt":10540,"deu_wikipedia_2021_1M_words.txt":6654,"deu-de_web_2021_1M_words.txt":8157}
147	finden	finden	25016	3	{"deu_news_2024_1M_words.txt":4564,"deu_wikipedia_2021_1M_words.txt":4365,"deu-de_web_2021_1M_words.txt":16087}
148	geht	geht	24968	3	{"deu_news_2024_1M_words.txt":12768,"deu_wikipedia_2021_1M_words.txt":3632,"deu-de_web_2021_1M_words.txt":8568}
149	ohne	ohne	24943	3	{"deu_news_2024_1M_words.txt":8026,"deu_wikipedia_2021_1M_words.txt":7307,"deu-de_web_2021_1M_words.txt":9610}
150	seinem	seinem	24712	3	{"deu_news_2024_1M_words.txt":8843,"deu_wikipedia_2021_1M_words.txt":12667,"deu-de_web_2021_1M_words.txt":3202}
151	rund	rund	24643	3	{"deu_news_2024_1M_words.txt":11115,"deu_wikipedia_2021_1M_words.txt":5586,"deu-de_web_2021_1M_words.txt":7942}
152	Kinder	kinder	24029	3	{"deu_news_2024_1M_words.txt":6484,"deu_wikipedia_2021_1M_words.txt":5040,"deu-de_web_2021_1M_words.txt":12505}
153	So	so	23610	3	{"deu_news_2024_1M_words.txt":9013,"deu_wikipedia_2021_1M_words.txt":6087,"deu-de_web_2021_1M_words.txt":8510}
154	heute	heute	23565	3	{"deu_news_2024_1M_words.txt":6943,"deu_wikipedia_2021_1M_words.txt":10529,"deu-de_web_2021_1M_words.txt":6093}
155	Unternehmen	unternehmen	23216	3	{"deu_news_2024_1M_words.txt":7261,"deu_wikipedia_2021_1M_words.txt":4522,"deu-de_web_2021_1M_words.txt":11433}
156	steht	steht	23091	3	{"deu_news_2024_1M_words.txt":9748,"deu_wikipedia_2021_1M_words.txt":5011,"deu-de_web_2021_1M_words.txt":8332}
157	gut	gut	23001	3	{"deu_news_2024_1M_words.txt":10854,"deu_wikipedia_2021_1M_words.txt":3260,"deu-de_web_2021_1M_words.txt":8887}
158	beiden	beiden	22757	3	{"deu_news_2024_1M_words.txt":8120,"deu_wikipedia_2021_1M_words.txt":11068,"deu-de_web_2021_1M_words.txt":3569}
159	konnte	konnte	22726	3	{"deu_news_2024_1M_words.txt":7088,"deu_wikipedia_2021_1M_words.txt":12613,"deu-de_web_2021_1M_words.txt":3025}
160	Ich	ich	22591	3	{"deu_news_2024_1M_words.txt":13075,"deu_wikipedia_2021_1M_words.txt":1160,"deu-de_web_2021_1M_words.txt":8356}
161	worden	worden	22550	3	{"deu_news_2024_1M_words.txt":11837,"deu_wikipedia_2021_1M_words.txt":7464,"deu-de_web_2021_1M_words.txt":3249}
162	sondern	sondern	22517	3	{"deu_news_2024_1M_words.txt":8437,"deu_wikipedia_2021_1M_words.txt":6299,"deu-de_web_2021_1M_words.txt":7781}
163	weitere	weitere	22485	3	{"deu_news_2024_1M_words.txt":6834,"deu_wikipedia_2021_1M_words.txt":8243,"deu-de_web_2021_1M_words.txt":7408}
164	weiter	weiter	22466	3	{"deu_news_2024_1M_words.txt":10700,"deu_wikipedia_2021_1M_words.txt":5298,"deu-de_web_2021_1M_words.txt":6468}
165	Ihre	ihre	22268	3	{"deu_news_2024_1M_words.txt":2606,"deu_wikipedia_2021_1M_words.txt":2739,"deu-de_web_2021_1M_words.txt":16923}
166	ihm	ihm	22141	3	{"deu_news_2024_1M_words.txt":6785,"deu_wikipedia_2021_1M_words.txt":12644,"deu-de_web_2021_1M_words.txt":2712}
167	Uhr	uhr	22071	3	{"deu_news_2024_1M_words.txt":14514,"deu_wikipedia_2021_1M_words.txt":2116,"deu-de_web_2021_1M_words.txt":5441}
168	allem	allem	22032	3	{"deu_news_2024_1M_words.txt":8763,"deu_wikipedia_2021_1M_words.txt":6511,"deu-de_web_2021_1M_words.txt":6758}
169	viel	viel	21970	3	{"deu_news_2024_1M_words.txt":11515,"deu_wikipedia_2021_1M_words.txt":2528,"deu-de_web_2021_1M_words.txt":7927}
170	ihn	ihn	21942	3	{"deu_news_2024_1M_words.txt":7967,"deu_wikipedia_2021_1M_words.txt":11013,"deu-de_web_2021_1M_words.txt":2962}
171	ins	ins	21283	3	{"deu_news_2024_1M_words.txt":10105,"deu_wikipedia_2021_1M_words.txt":5912,"deu-de_web_2021_1M_words.txt":5266}
